date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:02:27	53413/53413	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2018:02:27%20GMT	https://sites.google.com/view/jqttescripts	D:/WinHtTrack/JqtteScripts/sites.google.com/view/jqttescripts.html	(from )
20:02:27	67/67	---MCZ	200	added ('OK')	text/plain	date:Fri,%2010%20Apr%202020%2018:02:27%20GMT	https://sites.google.com/robots.txt		(from )
20:02:29	43/43	---M--	200	added ('OK')	image/gif	date:Tue,%2003%20Mar%202020%2020:15:00%20GMT	https://ssl.gstatic.com/docs/common/cleardot.gif	D:/WinHtTrack/JqtteScripts/ssl.gstatic.com/docs/common/cleardot.gif	(from https://sites.google.com/view/jqttescripts)
20:02:29	12968/12968	---MC-	200	added ('OK')	application/javascript	date:Fri,%2010%20Apr%202020%2018:02:29%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	D:/WinHtTrack/JqtteScripts/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/jqttescripts)
20:02:30	53457/53457	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2018:02:30%20GMT	https://sites.google.com/view/jqttescripts/startseite	D:/WinHtTrack/JqtteScripts/sites.google.com/view/jqttescripts/startseite.html	(from https://sites.google.com/view/jqttescripts)
20:02:31	297036/297036	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	D:/WinHtTrack/JqtteScripts/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/jqttescripts)
20:02:31	58380/58380	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2018:02:30%20GMT	https://sites.google.com/view/jqttescripts/scripts	D:/WinHtTrack/JqtteScripts/sites.google.com/view/jqttescripts/scripts.html	(from https://sites.google.com/view/jqttescripts)
20:02:32	58611/58611	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2018:02:32%20GMT	https://sites.google.com/view/jqttescripts/exploits	D:/WinHtTrack/JqtteScripts/sites.google.com/view/jqttescripts/exploits.html	(from https://sites.google.com/view/jqttescripts)
20:02:32	55485/55485	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2018:02:32%20GMT	https://sites.google.com/view/jqttescripts/discord	D:/WinHtTrack/JqtteScripts/sites.google.com/view/jqttescripts/discord.html	(from https://sites.google.com/view/jqttescripts)
20:02:34	61640/61640	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Apr%202020%2018:02:33%20GMT	https://sites.google.com/view/jqttescripts/credits	D:/WinHtTrack/JqtteScripts/sites.google.com/view/jqttescripts/credits.html	(from https://sites.google.com/view/jqttescripts)
20:02:35	45502/45502	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Apr%202020%2018:02:35%20GMT	https://sites.google.com/view/jqttescripts/%22https://discordapp.com/widget?id=467618057209249794&theme=dark%22	D:/WinHtTrack/JqtteScripts/sites.google.com/view/jqttescripts/_https_/discordapp.com/widget.9d808.delayed	(from https://sites.google.com/view/jqttescripts/discord)
